[(1178, 5034), (4509, 3719), 'Forward', '166_190_223']
[(1196, 5045), (4509, 3719), 'Forward', '166_190_223']
[(1208, 5052), (4509, 3719), 'Forward', '166_190_223']
[(1220, 5059), (4509, 3719), 'Forward', '166_190_223']
[(1229, 5064), (4509, 3719), 'Forward', '166_190_223']
[(1230, 5143), (4579, 3718), 'Forward', '48_48_192']
[(1239, 5069), (4509, 3719), 'Forward', '166_190_223']
[(1245, 5072), (4509, 3719), 'Forward', '166_190_223']
[(1247, 5151), (4579, 3718), 'Forward', '48_48_192']
[(1254, 5077), (4509, 3719), 'Forward', '166_190_223']
[(1312, 5103), (4509, 3719), 'Forward', '166_190_223']
[(1325, 5108), (4509, 3719), 'Forward', '166_190_223']
[(1338, 5113), (4509, 3719), 'Forward', '166_190_223']
[(1449, 5147), (4509, 3719), 'Forward', '166_190_223']
[(1473, 5152), (4509, 3719), 'Forward', '166_190_223']
[(1525, 5161), (4509, 3719), 'Forward', '166_190_223']
[(1695, 805), (2491, 526), 'Forward', '32_71_171']
[(1697, 803), (2491, 526), 'Forward', '32_71_171']
[(1731, 805), (2491, 561), 'Forward', '32_171_121']
[(1830, 764), (1784, 1267), 'Forward', '171_124_32']
[(1840, 750), (1784, 1267), 'Forward', '171_124_32']
[(1848, 740), (1784, 1267), 'Forward', '171_124_32']
[(1855, 732), (1784, 1267), 'Forward', '171_124_32']
[(1859, 727), (1784, 1267), 'Forward', '171_124_32']
[(1873, 712), (1784, 1267), 'Forward', '171_124_32']
[(1883, 703), (1784, 1267), 'Forward', '171_124_32']
[(1893, 694), (1784, 1267), 'Forward', '171_124_32']
[(1899, 690), (1784, 1267), 'Forward', '171_124_32']
[(1910, 682), (1784, 1267), 'Forward', '171_124_32']
[(1915, 678), (1784, 1267), 'Forward', '171_124_32']
[(1927, 671), (1784, 1267), 'Forward', '171_124_32']
[(1933, 668), (1784, 1267), 'Forward', '171_124_32']
[(1945, 662), (1784, 1267), 'Forward', '171_124_32']
[(1951, 659), (1784, 1267), 'Forward', '171_124_32']
[(1957, 656), (1784, 1267), 'Forward', '171_124_32']
[(1963, 654), (1784, 1267), 'Forward', '171_124_32']
[(1969, 651), (1784, 1267), 'Forward', '171_124_32']
[(1979, 648), (1784, 1267), 'Forward', '171_124_32']
[(1985, 646), (1784, 1267), 'Forward', '171_124_32']
[(1995, 643), (1784, 1267), 'Forward', '171_124_32']
[(2028, 636), (1784, 1267), 'Forward', '171_124_32']
[(2038, 635), (1784, 1267), 'Forward', '171_124_32']
[(2520, 5250), (4579, 3718), 'Forward', '48_48_192']
[(2522, 5180), (4509, 3719), 'Forward', '166_190_223']
[(2770, 5253), (4579, 3718), 'Forward', '48_48_192']
[(3473, 842), (2806, 627), 'Forward', '151_193_214']
[(3474, 878), (2806, 627), 'Forward', '151_193_214']
[(3474, 945), (2806, 627), 'Forward', '151_193_214']
[(3474, 949), (2806, 627), 'Forward', '151_193_214']
[(3474, 981), (2806, 627), 'Forward', '151_193_214']
[(3474, 1241), (2806, 627), 'Forward', '151_193_214']
[(3474, 1245), (2806, 627), 'Forward', '151_193_214']
[(3474, 1251), (2806, 627), 'Forward', '151_193_214']
[(3749, 5164), (4509, 3719), 'Forward', '166_190_223']
[(3794, 5156), (4509, 3719), 'Forward', '166_190_223']
[(3825, 5149), (4509, 3719), 'Forward', '166_190_223']
[(3842, 5145), (4509, 3719), 'Forward', '166_190_223']
[(3859, 5141), (4509, 3719), 'Forward', '166_190_223']
[(3876, 5136), (4509, 3719), 'Forward', '166_190_223']
[(3886, 5133), (4509, 3719), 'Forward', '166_190_223']
[(3896, 5130), (4509, 3719), 'Forward', '166_190_223']
[(3906, 5126), (4509, 3719), 'Forward', '166_190_223']
[(3916, 5123), (4509, 3719), 'Forward', '166_190_223']
[(3926, 5119), (4509, 3719), 'Forward', '166_190_223']
[(3939, 5114), (4509, 3719), 'Forward', '166_190_223']
[(3949, 5111), (4509, 3719), 'Forward', '166_190_223']
[(3962, 5105), (4509, 3719), 'Forward', '166_190_223']
[(3972, 5101), (4509, 3719), 'Forward', '166_190_223']
[(3978, 5098), (4509, 3719), 'Forward', '166_190_223']
[(3988, 5094), (4509, 3719), 'Forward', '166_190_223']
[(3994, 5091), (4509, 3719), 'Forward', '166_190_223']
[(4007, 5085), (4509, 3719), 'Forward', '166_190_223']
[(4013, 5082), (4509, 3719), 'Forward', '166_190_223']
[(4026, 5076), (4509, 3719), 'Forward', '166_190_223']
[(4027, 5153), (4579, 3718), 'Forward', '48_48_192']
[(4032, 5073), (4509, 3719), 'Forward', '166_190_223']
[(4038, 5069), (4509, 3719), 'Forward', '166_190_223']
[(4051, 5063), (4509, 3719), 'Forward', '166_190_223']
[(4060, 5058), (4509, 3719), 'Forward', '166_190_223']
[(4061, 5137), (4579, 3718), 'Forward', '48_48_192']
[(4072, 5051), (4509, 3719), 'Forward', '166_190_223']
[(4090, 5040), (4509, 3719), 'Forward', '166_190_223']
[(4117, 5023), (4509, 3719), 'Forward', '166_190_223']
[(4126, 5017), (4509, 3719), 'Forward', '166_190_223']
[(4146, 5002), (4509, 3719), 'Forward', '166_190_223']
[(4163, 4990), (4509, 3719), 'Forward', '166_190_223']
[(4174, 4981), (4509, 3719), 'Forward', '166_190_223']
