[(1021, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1022, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1025, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1026, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1029, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1030, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1033, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1034, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1037, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1038, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1041, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1042, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1045, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1046, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1049, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1050, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1053, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1054, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1058, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1062, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(2241, 2899), (2615, 2447), 'Turn Right', '216_155_166']
[(2245, 2899), (2615, 2447), 'Turn Right', '216_155_166']
[(2249, 2899), (2615, 2447), 'Turn Right', '216_155_166']
[(2253, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2257, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2261, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2265, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2269, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2273, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2277, 2898), (2615, 2447), 'Turn Right', '216_155_166']
[(2281, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2285, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2289, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2293, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2297, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2301, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2305, 2897), (2615, 2447), 'Turn Right', '216_155_166']
[(2309, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2313, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2317, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2321, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2325, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2329, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2333, 2896), (2615, 2447), 'Turn Right', '216_155_166']
[(2337, 2895), (2615, 2447), 'Turn Right', '216_155_166']
[(2341, 2895), (2615, 2447), 'Turn Right', '216_155_166']
[(2345, 2895), (2615, 2447), 'Turn Right', '216_155_166']
[(2349, 2895), (2615, 2447), 'Turn Right', '216_155_166']
[(2353, 2895), (2615, 2447), 'Turn Right', '216_155_166']
[(2357, 2895), (2615, 2447), 'Turn Right', '216_155_166']
[(2361, 2895), (2615, 2447), 'Turn Right', '216_155_166']
