[(547, 1082), (3873, 1344), 'Forward', '45_45_196']
[(547, 1086), (3873, 1344), 'Forward', '45_45_196']
[(547, 1090), (3873, 1344), 'Forward', '45_45_196']
[(547, 1094), (3873, 1344), 'Forward', '45_45_196']
[(547, 1098), (3873, 1344), 'Forward', '45_45_196']
[(547, 1102), (3873, 1344), 'Forward', '45_45_196']
[(547, 1106), (3873, 1344), 'Forward', '45_45_196']
[(547, 1110), (3873, 1344), 'Forward', '45_45_196']
[(547, 1114), (3873, 1344), 'Forward', '45_45_196']
[(547, 1118), (3873, 1344), 'Forward', '45_45_196']
[(547, 1122), (3873, 1344), 'Forward', '45_45_196']
[(547, 1126), (3873, 1344), 'Forward', '45_45_196']
[(547, 1130), (3873, 1344), 'Forward', '45_45_196']
[(547, 1134), (3873, 1344), 'Forward', '45_45_196']
[(547, 1138), (3873, 1344), 'Forward', '45_45_196']
[(547, 1142), (3873, 1344), 'Forward', '45_45_196']
[(547, 1146), (3873, 1344), 'Forward', '45_45_196']
[(547, 1150), (3873, 1344), 'Forward', '45_45_196']
[(547, 1154), (3873, 1344), 'Forward', '45_45_196']
[(547, 1158), (3873, 1344), 'Forward', '45_45_196']
[(547, 1162), (3873, 1344), 'Forward', '45_45_196']
[(547, 1166), (3873, 1344), 'Forward', '45_45_196']
[(547, 1170), (3873, 1344), 'Forward', '45_45_196']
[(547, 1174), (3873, 1344), 'Forward', '45_45_196']
[(547, 1178), (3873, 1344), 'Forward', '45_45_196']
[(547, 1182), (3873, 1344), 'Forward', '45_45_196']
[(547, 1186), (3873, 1344), 'Forward', '45_45_196']
[(547, 1190), (3873, 1344), 'Forward', '45_45_196']
[(547, 1194), (3873, 1344), 'Forward', '45_45_196']
[(547, 1198), (3873, 1344), 'Forward', '45_45_196']
[(547, 1202), (3873, 1344), 'Forward', '45_45_196']
[(547, 1206), (3873, 1344), 'Forward', '45_45_196']
[(547, 1210), (3873, 1344), 'Forward', '45_45_196']
[(547, 1214), (3873, 1344), 'Forward', '45_45_196']
[(547, 1218), (3873, 1344), 'Forward', '45_45_196']
[(547, 1222), (3873, 1344), 'Forward', '45_45_196']
[(547, 1226), (3873, 1344), 'Forward', '45_45_196']
[(547, 1230), (3873, 1344), 'Forward', '45_45_196']
[(547, 1234), (3873, 1344), 'Forward', '45_45_196']
[(547, 1238), (3873, 1344), 'Forward', '45_45_196']
[(547, 1242), (3873, 1344), 'Forward', '45_45_196']
[(547, 1246), (3873, 1344), 'Forward', '45_45_196']
[(547, 1250), (3873, 1344), 'Forward', '45_45_196']
[(547, 1254), (3873, 1344), 'Forward', '45_45_196']
[(547, 1258), (3873, 1344), 'Forward', '45_45_196']
[(547, 1262), (3873, 1344), 'Forward', '45_45_196']
[(547, 1266), (3873, 1344), 'Forward', '45_45_196']
[(547, 1270), (3873, 1344), 'Forward', '45_45_196']
[(547, 1274), (3873, 1344), 'Forward', '45_45_196']
[(547, 1278), (3873, 1344), 'Forward', '45_45_196']
[(547, 1282), (3873, 1344), 'Forward', '45_45_196']
[(547, 1286), (3873, 1344), 'Forward', '45_45_196']
[(547, 1290), (3873, 1344), 'Forward', '45_45_196']
[(547, 1294), (3873, 1344), 'Forward', '45_45_196']
[(547, 1298), (3873, 1344), 'Forward', '45_45_196']
[(547, 1302), (3873, 1344), 'Forward', '45_45_196']
[(547, 1306), (3873, 1344), 'Forward', '45_45_196']
[(547, 1310), (3873, 1344), 'Forward', '45_45_196']
[(547, 1314), (3873, 1344), 'Forward', '45_45_196']
[(547, 1318), (3873, 1344), 'Forward', '45_45_196']
[(547, 1322), (3873, 1344), 'Forward', '45_45_196']
[(547, 1326), (3873, 1344), 'Forward', '45_45_196']
[(547, 1330), (3873, 1344), 'Forward', '45_45_196']
[(547, 1334), (3873, 1344), 'Forward', '45_45_196']
[(547, 1338), (3873, 1344), 'Forward', '45_45_196']
[(547, 1342), (3873, 1344), 'Forward', '45_45_196']
[(547, 1346), (3873, 1344), 'Forward', '45_45_196']
[(547, 1350), (3873, 1344), 'Forward', '45_45_196']
[(547, 1354), (3873, 1344), 'Forward', '45_45_196']
[(547, 1355), (3873, 1344), 'Forward', '45_45_196']
[(547, 1358), (3873, 1344), 'Forward', '45_45_196']
[(547, 1359), (3873, 1344), 'Forward', '45_45_196']
[(547, 1362), (3873, 1344), 'Forward', '45_45_196']
[(547, 1363), (3873, 1344), 'Forward', '45_45_196']
