[(667, 587), (1294, 2517), 'Forward', '236_110_120']
[(671, 587), (1294, 2517), 'Forward', '236_110_120']
[(675, 587), (1294, 2517), 'Forward', '236_110_120']
[(679, 587), (1294, 2517), 'Forward', '236_110_120']
[(683, 587), (1294, 2517), 'Forward', '236_110_120']
[(687, 587), (1294, 2517), 'Forward', '236_110_120']
[(691, 587), (1294, 2517), 'Forward', '236_110_120']
[(695, 587), (1294, 2517), 'Forward', '236_110_120']
[(699, 587), (1294, 2517), 'Forward', '236_110_120']
[(703, 587), (1294, 2517), 'Forward', '236_110_120']
[(707, 587), (1294, 2517), 'Forward', '236_110_120']
[(711, 587), (1294, 2517), 'Forward', '236_110_120']
[(715, 587), (1294, 2517), 'Forward', '236_110_120']
[(719, 587), (1294, 2517), 'Forward', '236_110_120']
[(723, 587), (1294, 2517), 'Forward', '236_110_120']
[(727, 587), (1294, 2517), 'Forward', '236_110_120']
[(731, 587), (1294, 2517), 'Forward', '236_110_120']
[(735, 587), (1294, 2517), 'Forward', '236_110_120']
[(739, 587), (1294, 2517), 'Forward', '236_110_120']
[(743, 587), (1294, 2517), 'Forward', '236_110_120']
[(747, 587), (1294, 2517), 'Forward', '236_110_120']
[(751, 587), (1294, 2517), 'Forward', '236_110_120']
[(755, 587), (1294, 2517), 'Forward', '236_110_120']
[(759, 587), (1294, 2517), 'Forward', '236_110_120']
[(763, 587), (1294, 2517), 'Forward', '236_110_120']
[(767, 587), (1294, 2517), 'Forward', '236_110_120']
[(771, 587), (1294, 2517), 'Forward', '236_110_120']
[(775, 587), (1294, 2517), 'Forward', '236_110_120']
[(779, 587), (1294, 2517), 'Forward', '236_110_120']
[(783, 587), (1294, 2517), 'Forward', '236_110_120']
[(787, 587), (1294, 2517), 'Forward', '236_110_120']
[(791, 587), (1294, 2517), 'Forward', '236_110_120']
[(795, 587), (1294, 2517), 'Forward', '236_110_120']
[(799, 587), (1294, 2517), 'Forward', '236_110_120']
[(803, 587), (1294, 2517), 'Forward', '236_110_120']
[(807, 587), (1294, 2517), 'Forward', '236_110_120']
[(811, 586), (1294, 2517), 'Forward', '236_110_120']
[(815, 586), (1294, 2517), 'Forward', '236_110_120']
[(819, 586), (1294, 2517), 'Forward', '236_110_120']
[(823, 586), (1294, 2517), 'Forward', '236_110_120']
[(827, 586), (1294, 2517), 'Forward', '236_110_120']
[(831, 586), (1294, 2517), 'Forward', '236_110_120']
[(835, 586), (1294, 2517), 'Forward', '236_110_120']
[(839, 586), (1294, 2517), 'Forward', '236_110_120']
[(843, 586), (1294, 2517), 'Forward', '236_110_120']
[(847, 586), (1294, 2517), 'Forward', '236_110_120']
[(851, 586), (1294, 2517), 'Forward', '236_110_120']
[(855, 586), (1294, 2517), 'Forward', '236_110_120']
[(859, 586), (1294, 2517), 'Forward', '236_110_120']
[(863, 586), (1294, 2517), 'Forward', '236_110_120']
[(867, 586), (1294, 2517), 'Forward', '236_110_120']
[(871, 586), (1294, 2517), 'Forward', '236_110_120']
[(875, 586), (1294, 2517), 'Forward', '236_110_120']
[(879, 586), (1294, 2517), 'Forward', '236_110_120']
[(883, 586), (1294, 2517), 'Forward', '236_110_120']
[(887, 586), (1294, 2517), 'Forward', '236_110_120']
[(891, 586), (1294, 2517), 'Forward', '236_110_120']
[(895, 586), (1294, 2517), 'Forward', '236_110_120']
[(899, 586), (1294, 2517), 'Forward', '236_110_120']
[(903, 586), (1294, 2517), 'Forward', '236_110_120']
[(907, 586), (1294, 2517), 'Forward', '236_110_120']
[(911, 586), (1294, 2517), 'Forward', '236_110_120']
[(915, 586), (1294, 2517), 'Forward', '236_110_120']
[(919, 586), (1294, 2517), 'Forward', '236_110_120']
[(923, 586), (1294, 2517), 'Forward', '236_110_120']
[(927, 586), (1294, 2517), 'Forward', '236_110_120']
[(931, 586), (1294, 2517), 'Forward', '236_110_120']
[(935, 586), (1294, 2517), 'Forward', '236_110_120']
[(939, 586), (1294, 2517), 'Forward', '236_110_120']
[(943, 586), (1294, 2517), 'Forward', '236_110_120']
[(947, 586), (1294, 2517), 'Forward', '236_110_120']
[(951, 586), (1294, 2517), 'Forward', '236_110_120']
[(955, 586), (1294, 2517), 'Forward', '236_110_120']
[(959, 586), (1294, 2517), 'Forward', '236_110_120']
[(963, 586), (1294, 2517), 'Forward', '236_110_120']
[(967, 586), (1294, 2517), 'Forward', '236_110_120']
[(971, 586), (1294, 2517), 'Forward', '236_110_120']
[(975, 586), (1294, 2517), 'Forward', '236_110_120']
[(979, 586), (1294, 2517), 'Forward', '236_110_120']
[(983, 586), (1294, 2517), 'Forward', '236_110_120']
[(987, 586), (1294, 2517), 'Forward', '236_110_120']
[(991, 586), (1294, 2517), 'Forward', '236_110_120']
[(995, 586), (1294, 2517), 'Forward', '236_110_120']
[(999, 586), (1294, 2517), 'Forward', '236_110_120']
[(1003, 586), (1294, 2517), 'Forward', '236_110_120']
[(1007, 586), (1294, 2517), 'Forward', '236_110_120']
[(1011, 586), (1294, 2517), 'Forward', '236_110_120']
[(1015, 586), (1294, 2517), 'Forward', '236_110_120']
[(1019, 586), (1294, 2517), 'Forward', '236_110_120']
[(1023, 586), (1294, 2517), 'Forward', '236_110_120']
[(1027, 586), (1294, 2517), 'Forward', '236_110_120']
[(1031, 586), (1294, 2517), 'Forward', '236_110_120']
[(1035, 586), (1294, 2517), 'Forward', '236_110_120']
[(1039, 586), (1294, 2517), 'Forward', '236_110_120']
[(1043, 586), (1294, 2517), 'Forward', '236_110_120']
[(1047, 586), (1294, 2517), 'Forward', '236_110_120']
[(1051, 586), (1294, 2517), 'Forward', '236_110_120']
[(1055, 586), (1294, 2517), 'Forward', '236_110_120']
[(1059, 586), (1294, 2517), 'Forward', '236_110_120']
[(1063, 586), (1294, 2517), 'Forward', '236_110_120']
[(1067, 586), (1294, 2517), 'Forward', '236_110_120']
[(1071, 586), (1294, 2517), 'Forward', '236_110_120']
[(1075, 586), (1294, 2517), 'Forward', '236_110_120']
[(1079, 586), (1294, 2517), 'Forward', '236_110_120']
[(1083, 586), (1294, 2517), 'Forward', '236_110_120']
[(1087, 586), (1294, 2517), 'Forward', '236_110_120']
[(1091, 586), (1294, 2517), 'Forward', '236_110_120']
[(1095, 586), (1294, 2517), 'Forward', '236_110_120']
[(1099, 586), (1294, 2517), 'Forward', '236_110_120']
[(1103, 586), (1294, 2517), 'Forward', '236_110_120']
[(1107, 586), (1294, 2517), 'Forward', '236_110_120']
[(1111, 586), (1294, 2517), 'Forward', '236_110_120']
[(1115, 586), (1294, 2517), 'Forward', '236_110_120']
[(1119, 586), (1294, 2517), 'Forward', '236_110_120']
[(1123, 586), (1294, 2517), 'Forward', '236_110_120']
[(1127, 586), (1294, 2517), 'Forward', '236_110_120']
[(1131, 586), (1294, 2517), 'Forward', '236_110_120']
[(1135, 586), (1294, 2517), 'Forward', '236_110_120']
[(1139, 586), (1294, 2517), 'Forward', '236_110_120']
[(1143, 586), (1294, 2517), 'Forward', '236_110_120']
[(1147, 586), (1294, 2517), 'Forward', '236_110_120']
[(1151, 586), (1294, 2517), 'Forward', '236_110_120']
[(1155, 586), (1294, 2517), 'Forward', '236_110_120']
[(1159, 586), (1294, 2517), 'Forward', '236_110_120']
[(1163, 586), (1294, 2517), 'Forward', '236_110_120']
[(1167, 586), (1294, 2517), 'Forward', '236_110_120']
[(1171, 586), (1294, 2517), 'Forward', '236_110_120']
[(1175, 586), (1294, 2517), 'Forward', '236_110_120']
[(1179, 586), (1294, 2517), 'Forward', '236_110_120']
[(1183, 586), (1294, 2517), 'Forward', '236_110_120']
[(1187, 586), (1294, 2517), 'Forward', '236_110_120']
[(1191, 586), (1294, 2517), 'Forward', '236_110_120']
[(1195, 586), (1294, 2517), 'Forward', '236_110_120']
[(1199, 586), (1294, 2517), 'Forward', '236_110_120']
[(1203, 586), (1294, 2517), 'Forward', '236_110_120']
[(1207, 586), (1294, 2517), 'Forward', '236_110_120']
[(1211, 586), (1294, 2517), 'Forward', '236_110_120']
[(1215, 586), (1294, 2517), 'Forward', '236_110_120']
[(1219, 586), (1294, 2517), 'Forward', '236_110_120']
[(1223, 586), (1294, 2517), 'Forward', '236_110_120']
[(1227, 586), (1294, 2517), 'Forward', '236_110_120']
[(1231, 586), (1294, 2517), 'Forward', '236_110_120']
[(1235, 586), (1294, 2517), 'Forward', '236_110_120']
[(1239, 586), (1294, 2517), 'Forward', '236_110_120']
[(1243, 586), (1294, 2517), 'Forward', '236_110_120']
